Afghanistan,23,18.9
Albania,26.8,23.5
Algeria,25.6,21.8
Andorra,27,25.5
Angola,23,18.8
Antigua and Barbuda,26.8,22.6
Argentina,27.8,24.1
Armenia,26.5,23.8
Australia,27.4,23.9
Austria,26,24.4
Azerbaijan,27,23.4
Bahamas,28.1,24.2
Bahrain,25,24.8
Bangladesh,21.7,17.6
Barbados,28,24.9
Belarus,27.2,24.1
Belgium,26.7,25.2
Belize,28.9,24.9
Benin,23.4,18.8
Bhutan,23.9,19.2
Bolivia (Plurinational State of),26.3,21.7
Bosnia and Herzegovina,26.2,23.1
Botswana,23.8,20.2
Brazil,26.6,22.4
Brunei Darussalam,27.4,23.1
Bulgaria,27.1,24.2
Burkina Faso,22.2,18.8
Burundi,21.7,18.4
Cabo Verde,24.3,19.9
Cambodia,22.1,18.6
Cameroon,24.1,19.9
Canada,27.3,24.2
Central African Republic,22.6,19
Chad,21.5,18.4
Chile,28.1,24.6
China,24,20.9
Colombia,26.2,21.8
Comoros,24.4,19.7
Congo,23,19.5
Cook Islands,32.9,28.4
Costa Rica,27.3,22.4
C̫te d'Ivoire,23.6,20.2
Croatia,28.1,23.6
Cuba,25.9,22.5
Cyprus,27.1,23.6
Czechia,27.9,26.4
Democratic People's Republic of Korea,24.2,21.6
Democratic Republic of the Congo,21.8,18.4
Denmark,25.7,23.9
Djibouti,23.8,21.5
Dominica,27,22.6
Dominican Republic,26.4,21.9
Ecuador,27.1,22.2
Egypt,29.4,24.4
El Salvador,27.4,22.5
Equatorial Guinea,24,20
Eritrea,20.5,18.1
Estonia,27,24.6
Eswatini,26.1,22.4
Ethiopia,20.5,17.8
Fiji,27.7,23
Finland,26.6,24.4
France,25.6,24.5
Gabon,24.9,19.9
Gambia,23.6,18.5
Georgia,28.1,23.6
Germany,27.4,24.8
Ghana,23.8,19.8
Greece,27.7,25.5
Grenada,26.9,22.7
Guatemala,26.3,21.9
Guinea,22.7,19.2
Guinea-Bissau,23.2,19.1
Guyana,26.3,22
Haiti,25.1,20.5
Honduras,26.5,21.1
Hungary,27.9,24.8
Iceland,26.5,23.8
India,21.8,18.5
Indonesia,23.2,19.4
Iran (Islamic Republic of),26.1,22.2
Iraq,28.3,24.1
Ireland,27.8,23.7
Israel,27.4,24.2
Italy,26.3,24.7
Jamaica,27.7,22.3
Japan,22.8,22
Jordan,28.5,24.6
Kazakhstan,26.4,23.8
Kenya,23.2,19.3
Kiribati,30,24.3
Kuwait,29.5,25.9
Kyrgyzstan,26.2,22.1
Lao People's Democratic Republic,22.7,18.7
Latvia,27.4,24.7
Lebanon,27.5,23.3
Lesotho,24.5,22
Liberia,24,20.1
Libya,27.9,23.7
Lithuania,27,25.8
Luxembourg,26.8,24.4
Madagascar,21.2,18.6
Malawi,22.8,19.4
Malaysia,25.7,20.7
Maldives,25.1,20
Mali,22.9,18.8
Malta,27.7,25.9
Marshall Islands,29.5,25.7
Mauritania,24.6,20.1
Mauritius,25.4,22
Mexico,27.9,23.1
Micronesia (Federated States of),29.1,25.5
Monaco,No data,No data
Mongolia,26.1,22
Montenegro,26.9,23
Morocco,25.9,21.9
Mozambique,22.6,18.6
Myanmar,22.7,19.4
Namibia,23.8,20.5
Nauru,32.5,32.4
Nepal,22.4,17.9
Netherlands,26.1,23.5
New Zealand,28.2,24
Nicaragua,26.9,22.7
Niger,21.8,18.7
Nigeria,23,20
Niue,32.4,27.5
Norway,27.1,24.5
Oman,26.2,22.6
Pakistan,23.8,19.7
Palau,29.5,26.9
Panama,26.9,22.6
Papua New Guinea,25.8,21.2
Paraguay,26.5,22.1
Peru,26.6,22.8
Philippines,23.1,19.8
Poland,27.3,24.7
Portugal,26.2,24.1
Qatar,29.2,25.5
Republic of Korea,23.9,20.5
Republic of Moldova,27.4,24
Romania,27.5,23.3
Russian Federation,26.7,25.2
Rwanda,22.2,18.9
Saint Kitts and Nevis,29.5,24.4
Saint Lucia,30,22.8
Saint Vincent and the Grenadines,27.2,22.5
Samoa,31.9,26.2
San Marino,No data,No data
Sao Tome and Principe,24.5,20.4
Saudi Arabia,28.5,24.5
Senegal,22.5,19.6
Serbia,26.5,24.1
Seychelles,26.9,22.3
Sierra Leone,22.7,19.9
Singapore,23.8,22.6
Slovakia,27,24.4
Slovenia,27,23.9
Solomon Islands,26.2,22
Somalia,22.9,19.6
South Africa,27,23.8
South Sudan,No data,No data
Spain,26.6,25
Sri Lanka,23.2,19.4
Sudan,No data,No data
Sudan (former),24.2,20.1
Suriname,26.6,22.8
Sweden,26.4,23.8
Switzerland,25.7,23.9
Syrian Arab Republic,27.8,23.8
Tajikistan,25.6,21.9
Thailand,24.6,20.4
Republic of North Macedonia,27,24.2
Timor-Leste,21.1,18.1
Togo,23.4,19.2
Tonga,31.9,27.6
Trinidad and Tobago,27.9,23.2
Tunisia,26.4,22.4
Turkey,27.9,23.2
Turkmenistan,26.2,22.4
Tuvalu,30.7,25.6
Uganda,22.4,18.9
Ukraine,26.9,24.6
United Arab Emirates,28.6,25.1
United Kingdom of Great Britain and Northern Ireland,27.5,23.8
United Republic of Tanzania,23,19.4
United States of America,29.1,24.9
Uruguay,27.6,24.3
Uzbekistan,26.5,22.1
Vanuatu,26,22.4
Venezuela (Bolivarian Republic of),26.7,23.8
Viet Nam,21.9,18.2
Yemen,23.4,19.6
Zambia,22.2,19.4
Zimbabwe,23.4,21.8
